iter	MultiClass
0	1.060688502
1	1.029587392
2	0.9983893838
3	0.9710095815
4	0.9460262699
5	0.9193530361
6	0.896552374
7	0.8737253123
8	0.8565693425
9	0.8458521499
10	0.8330069408
11	0.8188028637
12	0.8089635349
13	0.7937254927
14	0.7821076702
15	0.7709065048
16	0.760924026
17	0.7510896462
18	0.7392766871
19	0.7305299366
20	0.7224782671
21	0.7155606458
22	0.7072110237
23	0.6991441024
24	0.6928601439
25	0.6864425578
26	0.6797458853
27	0.6734803051
28	0.6674094331
29	0.6625886828
30	0.6561401281
31	0.650141774
32	0.645283722
33	0.6401977459
34	0.6358992423
35	0.6315810684
36	0.6277775393
37	0.6226378354
38	0.6189834772
39	0.6132921637
40	0.6097443093
41	0.6064053192
42	0.6030167747
43	0.5998087027
44	0.5945889314
45	0.5914366941
46	0.5894151663
47	0.58375076
48	0.5795737938
49	0.576442609
50	0.5729175347
51	0.5718347102
52	0.5701680576
53	0.5659770332
54	0.5635630933
55	0.5599639341
56	0.5581010259
57	0.5539992978
58	0.5511319126
59	0.5488962882
60	0.5450895936
61	0.5408283197
62	0.5379633959
63	0.5346911959
64	0.5306499176
65	0.5275771994
66	0.5256863144
67	0.5231463484
68	0.5205715416
69	0.5185119318
70	0.5166147933
71	0.5136535658
72	0.5111986655
73	0.507842906
74	0.5051946074
75	0.5030537044
76	0.5006128748
77	0.4975665033
78	0.4957960426
79	0.4929393204
80	0.4906583654
81	0.4887689225
82	0.4861192662
83	0.4836274403
84	0.4813659008
85	0.47874598
86	0.4761042413
87	0.4735508013
88	0.4708345619
89	0.4672800725
90	0.4646567317
91	0.4620801051
92	0.4595999454
93	0.4579673207
94	0.4556566051
95	0.4530881955
96	0.4509228909
97	0.4489956163
98	0.4458613249
99	0.4437687968
100	0.4424181358
101	0.4407560586
102	0.4387460055
103	0.4361290447
104	0.4334908674
105	0.4311042647
106	0.4282901393
107	0.4255340058
108	0.4241702827
109	0.4226833388
110	0.4208339721
111	0.4186912367
112	0.4177552459
113	0.4157805581
114	0.4134686326
115	0.4114803542
116	0.4092297114
117	0.4075515251
118	0.4059604247
119	0.4034967122
120	0.4022146009
121	0.4001522187
122	0.3984217537
123	0.397178894
124	0.3953364626
125	0.3935532968
126	0.3920916699
127	0.3907062302
128	0.3879905058
129	0.3858765203
130	0.3848486723
131	0.3835473702
132	0.3817100811
133	0.3796528736
134	0.3777012251
135	0.3763354169
136	0.3746505466
137	0.3738433915
138	0.3722451833
139	0.3707966931
140	0.3693290162
141	0.3676805755
142	0.3666143757
143	0.3658551195
144	0.3645702157
145	0.3627406617
146	0.3610144457
147	0.359988617
148	0.358870743
149	0.3575851559
150	0.3561427538
151	0.354781681
152	0.3532462658
153	0.3516712173
154	0.3503869404
155	0.3487779202
156	0.3473599853
157	0.3461120638
158	0.3447766096
159	0.3432872211
160	0.3421543963
161	0.3409722232
162	0.3391552306
163	0.3374083705
164	0.3363890753
165	0.3349455514
166	0.332808686
167	0.3321360833
168	0.3313034028
169	0.3301562876
170	0.3286605718
171	0.3274066834
172	0.3257216833
173	0.3247471604
174	0.3232240415
175	0.3223714276
176	0.3206493509
177	0.3194385596
178	0.3177366138
179	0.316801205
180	0.3154402857
181	0.3141426526
182	0.3130899532
183	0.3113220837
184	0.3095836937
185	0.3089831008
186	0.3078399559
187	0.30703938
188	0.3056579742
189	0.3045452705
190	0.3030809763
191	0.3019130122
192	0.3004994843
193	0.2994425235
194	0.2983730729
195	0.2968486339
196	0.2961868743
197	0.2949904329
198	0.2941599086
199	0.2932314399
200	0.2918575377
201	0.2905979048
202	0.2894364909
203	0.2881943747
204	0.287269336
205	0.2863257498
206	0.2854386183
207	0.2843849237
208	0.2831291329
209	0.2822491521
210	0.2815238599
211	0.2806993886
212	0.2793213075
213	0.2783046261
214	0.2774000538
215	0.2762186733
216	0.2756039722
217	0.2742013275
218	0.273332048
219	0.2725114254
220	0.2713711124
221	0.2699219912
222	0.2690051044
223	0.2678528737
224	0.2665494972
225	0.2657078378
226	0.2645250086
227	0.2634624238
228	0.2630406415
229	0.2621635255
230	0.2615184727
231	0.2606968257
232	0.2597545783
233	0.2590218685
234	0.2580479834
235	0.2572429755
236	0.256412298
237	0.2555779996
238	0.2550714348
239	0.2541285049
240	0.2534534175
241	0.2528283476
242	0.2523855085
243	0.2514100859
244	0.2503209125
245	0.2495097326
246	0.2485367215
247	0.2476064756
248	0.2468185501
249	0.2459644791
250	0.2448685359
251	0.2442540196
252	0.243297256
253	0.242549794
254	0.2418883126
255	0.2406883947
256	0.2399589289
257	0.2390025386
258	0.2380282746
259	0.2376389453
260	0.2367713706
261	0.2356069626
262	0.234504985
263	0.2335427173
264	0.2327982662
265	0.2323596895
266	0.2315997503
267	0.2309797987
268	0.2301362858
269	0.2292531382
270	0.2284189854
271	0.2274958607
272	0.2268717083
273	0.225937947
274	0.2252134768
275	0.2247965096
276	0.2241209561
277	0.2237168604
278	0.2230289864
279	0.2224114204
280	0.2217887934
281	0.2212593823
282	0.2206273515
283	0.2201636773
284	0.2196205587
285	0.2191498049
286	0.2182313649
287	0.2175553776
288	0.2168032582
289	0.2161932625
290	0.2153874932
291	0.2149598929
292	0.2143231999
293	0.2137964369
294	0.2131664254
295	0.2126394595
296	0.2119170442
297	0.2114165666
298	0.2109314779
299	0.2102026783
300	0.2098742922
301	0.2094506615
302	0.2087225444
303	0.2083314441
304	0.2078314725
305	0.2070599697
306	0.2064309701
307	0.2058892277
308	0.2051294826
309	0.2046188363
310	0.2037898267
311	0.2032156643
312	0.2023329927
313	0.2017461783
314	0.2010008665
315	0.2003844568
316	0.1997594535
317	0.1991493642
318	0.1985593811
319	0.1982164439
320	0.1978886973
321	0.1974451944
322	0.1970102632
323	0.1965623022
324	0.1957538802
325	0.1952527681
326	0.1947281968
327	0.1943439017
328	0.1936754352
329	0.1931512428
330	0.1926433835
331	0.192302203
332	0.1915462567
333	0.191236217
334	0.1906533638
335	0.1901737593
336	0.1896622215
337	0.1892282991
338	0.1889805565
339	0.1883164802
340	0.1879556652
341	0.1870631969
342	0.1865305323
343	0.1862295946
344	0.1857003571
345	0.1851607918
346	0.1846140522
347	0.1840214859
348	0.1836196419
349	0.183177291
350	0.1828735619
351	0.1822542321
352	0.1820364361
353	0.181616444
354	0.1811882744
355	0.180721966
356	0.1801104137
357	0.1797165907
358	0.1795051083
359	0.1790346293
360	0.1784612109
361	0.1780913569
362	0.1776875949
363	0.1772604206
364	0.1768263724
365	0.1762061571
366	0.1758177691
367	0.1755679527
368	0.1751019824
369	0.1746670957
370	0.1741734835
371	0.1737708664
372	0.1733906368
373	0.1728822941
374	0.172310954
375	0.1719544349
376	0.1714676386
377	0.1711548848
378	0.1707256525
379	0.1704838979
380	0.1701595015
381	0.1695696365
382	0.1690532335
383	0.1687428799
384	0.1681075593
385	0.1678231503
386	0.1671891593
387	0.1668856902
388	0.1665649403
389	0.1661033308
390	0.1657661073
391	0.1654048098
392	0.1649075703
393	0.1646380201
394	0.1642782205
395	0.1640872087
396	0.1637519083
397	0.1634068872
398	0.1629118121
399	0.16260995
400	0.1621192828
401	0.1617943311
402	0.1613596755
403	0.1608124433
404	0.160317257
405	0.159980263
406	0.1597067381
407	0.1593033827
408	0.1588296807
409	0.1584080904
410	0.1580444715
411	0.157601661
412	0.1573124495
413	0.1568533366
414	0.1566059857
415	0.1560822269
416	0.1558018783
417	0.1554479452
418	0.1550728934
419	0.1545418124
420	0.1541870381
421	0.153849884
422	0.1535153024
423	0.1532411712
424	0.1529516682
425	0.1527727512
426	0.1523857442
427	0.1520718846
428	0.1517688867
429	0.1514639472
430	0.1509368371
431	0.1504959167
432	0.1502478868
433	0.1499265106
434	0.1494694566
435	0.1491904094
436	0.1488577817
437	0.1483840209
438	0.1480449407
439	0.1478085988
440	0.1474123917
441	0.1468804117
442	0.1464343338
443	0.1460780452
444	0.1457441216
445	0.1454273163
446	0.1450912711
447	0.1448343747
448	0.1444383193
449	0.1441635183
450	0.1438776002
451	0.1435685887
452	0.1432627615
453	0.1429933731
454	0.142721075
455	0.1425059503
456	0.1422482305
457	0.1419584393
