iter	Passed	Remaining
0	8	8172
1	12	6007
2	15	5314
3	20	4995
4	23	4763
5	28	4648
6	31	4470
7	35	4404
8	39	4357
9	43	4283
10	46	4208
11	50	4176
12	54	4138
13	58	4108
14	62	4094
15	64	3970
16	68	3967
17	70	3860
18	74	3866
19	78	3841
20	82	3823
21	85	3802
22	89	3796
23	92	3779
24	96	3760
25	100	3763
26	104	3749
27	107	3742
28	111	3747
29	117	3810
30	122	3815
31	126	3826
32	131	3842
33	135	3837
34	139	3835
35	143	3848
36	148	3856
37	152	3856
38	155	3843
39	160	3844
40	165	3861
41	169	3871
42	174	3876
43	178	3881
44	186	3961
45	190	3950
46	194	3951
47	199	3948
48	203	3946
49	207	3940
50	212	3956
51	215	3928
52	217	3894
53	221	3881
54	225	3876
55	230	3880
56	232	3847
57	236	3841
58	240	3838
59	244	3831
60	248	3825
61	252	3819
62	256	3814
63	260	3810
64	264	3805
65	268	3804
66	273	3806
67	277	3804
68	281	3801
69	285	3795
70	289	3791
71	293	3784
72	297	3783
73	302	3788
74	306	3783
75	311	3788
76	315	3779
77	319	3775
78	323	3774
79	327	3771
80	333	3782
81	337	3776
82	341	3772
83	345	3770
84	350	3775
85	354	3771
86	358	3766
87	364	3778
88	372	3807
89	378	3826
90	383	3831
91	387	3821
92	391	3814
93	394	3806
94	398	3795
95	402	3786
96	405	3776
97	409	3768
98	413	3764
99	417	3758
100	421	3752
101	426	3758
102	432	3762
103	436	3759
104	439	3749
105	444	3746
106	448	3739
107	451	3730
108	454	3715
109	458	3711
110	462	3701
111	465	3690
112	468	3679
113	471	3664
114	474	3653
115	477	3640
116	481	3631
117	484	3618
118	487	3606
119	490	3595
120	494	3589
121	497	3578
122	499	3564
123	502	3552
124	505	3539
125	508	3530
126	511	3518
127	514	3507
128	518	3497
129	520	3486
130	523	3473
131	526	3462
132	529	3451
133	532	3441
134	535	3428
135	538	3420
136	541	3411
137	544	3403
138	548	3395
139	551	3387
140	554	3377
141	557	3369
142	560	3361
143	563	3351
144	566	3343
145	570	3336
146	573	3326
147	576	3316
148	578	3306
149	582	3298
150	584	3288
151	588	3281
152	591	3272
153	594	3266
154	597	3257
155	600	3249
156	603	3240
157	606	3231
158	609	3222
159	612	3213
160	615	3205
161	618	3197
162	621	3191
163	624	3183
164	627	3177
165	630	3169
166	633	3161
167	637	3154
168	640	3147
169	643	3139
170	646	3131
171	649	3126
172	652	3119
173	655	3112
174	658	3104
175	662	3099
176	666	3097
177	669	3090
178	672	3084
179	675	3078
180	679	3073
181	682	3066
182	685	3062
183	689	3056
184	692	3049
185	695	3041
186	698	3036
187	701	3030
188	704	3024
189	708	3018
190	711	3013
191	714	3008
192	718	3002
193	721	2996
194	724	2989
195	727	2984
196	730	2979
197	734	2973
198	737	2966
199	740	2962
200	744	2958
201	747	2952
202	750	2945
203	753	2939
204	756	2933
205	759	2927
206	762	2921
207	766	2917
208	769	2911
209	772	2904
210	775	2899
211	778	2893
212	781	2887
213	784	2881
214	787	2875
215	790	2870
216	794	2865
217	797	2859
218	800	2854
219	803	2849
220	806	2843
221	809	2838
222	813	2832
223	816	2827
224	819	2821
225	822	2816
226	825	2811
227	828	2805
228	832	2801
229	835	2796
230	838	2791
231	841	2785
232	844	2780
233	847	2775
234	850	2769
235	853	2764
236	856	2758
237	859	2753
238	863	2747
239	866	2744
240	870	2740
241	873	2736
242	877	2732
243	880	2727
244	883	2722
245	886	2717
246	889	2711
247	892	2706
248	895	2702
249	899	2697
250	902	2693
251	906	2689
252	909	2685
253	912	2680
254	916	2677
255	919	2673
256	923	2670
257	927	2666
258	930	2663
259	934	2658
260	937	2654
261	941	2650
262	944	2645
263	947	2640
264	950	2635
265	953	2630
266	957	2627
267	959	2621
268	963	2616
269	966	2612
270	969	2607
271	972	2603
272	975	2598
273	979	2594
274	982	2588
275	985	2584
276	988	2579
277	991	2574
278	994	2571
279	1000	2573
280	1005	2572
281	1008	2567
282	1011	2563
283	1015	2559
284	1018	2554
285	1021	2549
286	1024	2546
287	1028	2541
288	1031	2537
289	1034	2533
290	1038	2529
291	1041	2525
292	1044	2520
293	1048	2517
294	1051	2513
295	1055	2509
296	1058	2506
297	1062	2502
298	1065	2497
299	1068	2494
300	1071	2489
301	1075	2486
302	1079	2483
303	1083	2480
304	1087	2478
305	1090	2473
306	1093	2467
307	1095	2462
308	1098	2457
309	1101	2452
310	1105	2448
311	1108	2444
312	1111	2440
313	1115	2436
314	1118	2431
315	1121	2427
316	1124	2422
317	1127	2418
318	1132	2418
319	1138	2418
320	1141	2414
321	1144	2410
322	1147	2405
323	1150	2401
324	1154	2397
325	1157	2393
326	1160	2388
327	1164	2385
328	1167	2380
329	1170	2376
330	1173	2371
331	1176	2367
332	1179	2361
333	1181	2355
334	1184	2351
335	1187	2345
336	1189	2340
337	1192	2335
338	1194	2329
339	1197	2323
340	1199	2318
341	1202	2312
342	1204	2307
343	1207	2303
344	1210	2298
345	1212	2292
346	1215	2287
347	1218	2282
348	1221	2277
349	1223	2272
350	1227	2268
351	1229	2264
352	1232	2259
353	1235	2255
354	1238	2249
355	1241	2245
356	1243	2239
357	1246	2235
358	1249	2230
359	1251	2225
360	1254	2220
361	1257	2216
362	1260	2211
363	1263	2206
364	1265	2202
365	1268	2197
366	1271	2192
367	1274	2188
368	1276	2183
369	1279	2178
370	1282	2173
371	1284	2169
372	1287	2164
373	1290	2159
374	1292	2154
375	1295	2149
376	1298	2145
377	1301	2141
378	1303	2136
379	1306	2131
380	1309	2127
381	1312	2122
382	1314	2117
383	1317	2113
384	1319	2108
385	1322	2103
386	1324	2098
387	1327	2093
388	1330	2089
389	1333	2085
390	1336	2081
391	1339	2077
392	1342	2073
393	1345	2069
